"PMID","DOI","First_Author","Year","Title","Journal","Journal_Abbrev","Publication_Type","Domain_Group","Priority_Translational_Evidence","Priority_Use_Case"
"33439312","10.1007/s00330-020-07590-2","Zhao Y","2021","Validation of CT radiomics for prediction of distant metastasis after surgical resection in patients with clear cell renal cell carcinoma: exploring the underlying signaling pathways.","European radiology","Eur Radiol","Journal Article","Renal/Kidney","No",""
"33515086","10.1007/s00330-020-07667-y","Zheng Z","2021","Development and validation of a CT-based nomogram for preoperative prediction of clear cell renal cell carcinoma grades.","European radiology","Eur Radiol","Journal Article","Renal/Kidney","No",""
"33427908","10.1007/s00261-020-02890-z","Zhou Z","2021","CT-based peritumoral radiomics signatures for malignancy grading of clear cell renal cell carcinoma.","Abdominal radiology (New York)","Abdom Radiol (NY)","Journal Article; Research Support, Non-U.S. Gov't","Renal/Kidney","No",""
"34868946","10.3389/fonc.2021.746750","Zuo T","2021","Automated Classification of Papillary Renal Cell Carcinoma and Chromophobe Renal Cell Carcinoma Based on a Small Computed Tomography Imaging Dataset Using Deep Learning.","Frontiers in oncology","Front Oncol","Journal Article","Renal/Kidney","No",""
"34524401","10.1001/jamasurg.2021.3651","Hung AJ","2021","Deep Learning to Automate Technical Skills Assessment in Robotic Surgery.","JAMA surgery","JAMA Surg","Journal Article; Research Support, N.I.H., Extramural","Surgical AI","No",""
"34352240","10.1016/j.brainres.2021.147607","Shafiei SB","2021","Utilizing deep neural networks and electroencephalogram for objective evaluation of surgeon's distraction during robot-assisted surgery.","Brain research","Brain Res","Journal Article","Surgical AI","No",""
"36111321","10.3389/frai.2022.954497","Abbas TO","2022","Automated quantification of penile curvature using artificial intelligence.","Frontiers in artificial intelligence","Front Artif Intell","Journal Article","Andrology","No",""
"35638089","10.1016/j.euros.2022.03.009","Agochukwu-Mmonu N","2022","Development and Validation of Dynamic Multivariate Prediction Models of Sexual Function Recovery in Patients with Prostate Cancer Undergoing Radical Prostatectomy: Results from the MUSIC Statewide Collaborative.","European urology open science","Eur Urol Open Sci","Journal Article","Andrology","Yes","ED and sexual-function outcome prediction"
"35191992","10.1007/s00345-022-03964-x","Amparore D","2022","Robotic partial nephrectomy in 3D virtual reconstructions era: is the paradigm changed?","World journal of urology","World J Urol","Journal Article","Andrology","No",""
"35594455","10.1093/biolre/ioac105","Botezatu A","2022","Advanced molecular approaches in male infertility diagnosisdagger.","Biology of reproduction","Biol Reprod","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"35508786","10.1007/s11517-022-02569-1","C N Barreto N","2022","Predicting in vitro fertilization success in the Brazilian public health system: a machine learning approach.","Medical & biological engineering & computing","Med Biol Eng Comput","Journal Article","Andrology","No",""
"35291304","10.1109/access.2022.3146334","Chandra S","2022","Prolificacy Assessment of Spermatozoan via State-of-the-Art Deep Learning Frameworks.","IEEE access : practical innovations, open solutions","IEEE Access","Journal Article","Andrology","No",""
"35147216","10.1002/mp.15525","Duan J","2022","Evaluating the clinical acceptability of deep learning contours of prostate and organs-at-risk in an automated prostate treatment planning process.","Medical physics","Med Phys","Journal Article","Andrology","No",""
"35804904","10.3390/cancers14133135","Eminaga O","2022","Artificial Intelligence-Based Prognostic Model for Urologic Cancers: A SEER-Based Study.","Cancers","Cancers (Basel)","Journal Article","Andrology","No",""
"36686470","10.3389/fendo.2022.1058250","Guo Y","2022","A new perspective on semen quality of aged male: The characteristics of metabolomics and proteomics.","Frontiers in endocrinology","Front Endocrinol (Lausanne)","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"33988119","10.1017/S0967199421000307","Itoi F","2022","Importance of real-time measurement of sperm head morphology in intracytoplasmic sperm injection.","Zygote (Cambridge, England)","Zygote","Journal Article; Review","Andrology","No",""
